FLDATE,QC_modify_Date,ou,FLYPITCODE,Itemdesc,pt,dn,FLYPGRADE,grade_actual,Grade_Type,Department,BM_Line,repack,packingfor,FLYPNETWT
2025-08-08,2025-08-09,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A,A1,downgrade,DYEING,DYE-JET2,1,Export,82.2
2025-05-22,2025-05-23,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Export,43.83
2025-03-28,2025-04-02,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,B,B,Firstgrade,KNITTING,KNIT-04,0,Export,213.95
2025-11-01,2025-11-04,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A1,A1,Firstgrade,WEAVING,LOOM-A1,1,Export,105.21
2025-02-21,2025-02-22,6,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,B,D,downgrade,DYEING,DYE-JET2,1,Domestic,73.38
2025-06-03,2025-06-04,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,D,A,Firstgrade,KNITTING,KNIT-04,1,Export,52.12
2025-07-17,2025-07-20,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,B,C,downgrade,DYEING,DYE-JET2,1,Export,44.69
2025-07-13,2025-07-15,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,D,D,Firstgrade,DYEING,DYE-JET2,0,Capt Packing,104.01
2025-10-07,2025-10-08,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,A,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,365.76
2025-08-05,2025-08-08,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,C,D,downgrade,WEAVING,LOOM-A1,1,Export,31.09
2025-08-30,2025-09-04,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A1,A1,Firstgrade,KNITTING,KNIT-04,0,Export,50.56
2025-09-14,2025-09-18,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,D,downgrade,DYEING,DYE-JET2,1,Export,447.82
